model,accuracy_percent,f1_weighted,f1_macro,roc_auc_macro_ovr
Logistic Regression,55.55555555555556,0.48063492063492064,0.4869352869352869,0.9646419472000867
SVM,44.44444444444444,0.3666666666666666,0.3675213675213675,0.07265409009595057
KNN,20.0,0.12134680134680133,0.09992229992229991,0.8137976364720549
Decision Tree,4.444444444444445,0.037037037037037035,0.034188034188034185,0.5066474223450967
